Количество	Запрос
11	7. в пачке бумаги 250 листов формата а4. за неделю в офисе расходуется 1100 листов. какое наименьшее количество пачек бумаги нужно купить в офис на 4 недели?
11	автобус за 8 часов работы расходует 48 литров сколько за 6 часов работы
11	автомобиль за 4 часа прошел 240 км сколько километров он проедет за 7
11	автомобиль проехал 430 км за 5 часов
11	аня купила проездной билет на месяц и сделала за месяц 30 поездок
11	аня купила проездной билет на месяц и сделала за месяц 55 поездку
11	аня москва домодедовская   +7 (891) 504-87-19 возраст: 24 рост: 160 вес: 45 грудь: 1 за час : 2000  фото проверено
11	аренда экскаватора цена за час
11	бассейн заполняется двумя трубами действующими одновременно за 2 часа
11	бегун бежал 100 метров за 10 секунд найдите среднюю скорость бегуна
11	в бочке было 45 л кваса за день продали три пятых
11	в корыто вмещается 60 литров воды. у детей миши и васи есть ведерки, вмещающие по литру воды. за 4 минуты миша успевает 9 раз наполнить в реке ведро водой и вылить её в корыто, васе на то же количество ходок к реке требуется на 2 минуты больше. за сколько минут дети наполнят корыто, если одновременно начнут ходить за водой?
11	в пачке 250 листов бумаги формата а4. за неделю в офисе расходуется 1700 листов. какого наименьшего количества пачек бумаги хватит на 3 недели?
11	в первом магазине за день продали 345 кг картофеля
11	в первом цехе за неделю изготавливают 1400 чайников,что составляет две пятых от всех чайников изготавливаемых в первом и втором цехах. сколько чайников изготавливают во втором цехе?
11	в помощь садовому насосу, перекачивающему 9 литров воды за 2 минуты,  подключили второй насос, перекачивающий тот же объём воды за 6 минут. сколько  минут эти два насоса должны работать совместно, чтобы перекачать 48 литров воды?
11	в среднем за день во время конференции расходуется 80 пакетиков чая. конференция длится 4 дня. в пачке чая 25 пакетиков. какого наименьшего количества пачек чая хватит на все дни конференции?
11	в холодильнике за 2 часа замерзает 7,2 кг воды. сколько теплоты отводит холодильник ежесекундно, если начальная температура воды 20 °с, а конечная температура льда -10 °с.
11	вася загружает на свой компьютер из интернета файл размером 30 мб за 29 секунд. петя загружает файл размером 24 мб за 23 секунды, а миша загружает файл размером 32 мб за 31 секунду. сколько секунд будет загружаться файл размером 480 мб на компьютер с наименьшей скоростью загрузки?
11	велосипед за 3 часа проехал 24 км
11	велосипедист проезжает путь из города в поселок, со скоростью 17 км/час, за 5 часов. сколько времени потребуется пешеходу, что бы пройти этот же путь, если он движется со скоростью 5 км/час?
11	велосипедист проехал 24 км за 2 часа сколько часов
11	велосипедист проехал 5 км за 25 минут
11	велосипедист проехал за час 12 км что составляет 1/4 намеченного маршрута
11	водитель за месяц проехал 8500 км
11	водитель маршрутного такси совершил за месяц 168 поездок по 50 км
11	гений находит решение за 10 секунд. билл гейтс - за 20 секунд. выпускник гарварда (harvard university) за 40 секунд.
11	гепард пробежал 6000 м за 4 минуты
11	два комбайна убрали поле за 4 дня
11	два контролёра готовой продукции совместно за 1 час проверяют 500 деталей
11	два насоса работая вместе наполняют бассейн водой за 12 часов
11	два подъемных крана работая вместе разгрузили баржу за 11 часов
11	два трактора могут вспахать поле за 15 часов
11	два тракториста за 12 дней вспахали 388.8
11	две бригады за час совместной ра боты могут засеять поле площадь ю  6  га .  работая  отдельно ,  первая бригада может засеять поле площадью  12  га на  3  часа быстрее ,  чем  это сделает вторая бригада .  за сколько часов ,  работая отдельно ,  вторая бригада засеет  поле площадью  5  га
11	две бригады работая вместе вспахали поле за 4 часа за сколько часов
11	две бригады убрали картофель с площади 12 га за 4 дня
11	две машинистки вместе могут перепечатать рукопись за 6 часов
11	две машинистки могут перепечатать рукопись за 12 часов
11	две студентки, работая вместе, могут напечатать курсовую работу за 6 дней. если сначала 60% курсовой напечатает катя, а затем завершит работу алиса, то вся работа будет выполнена за 12 дней.
11	две трубы наполняют бассейн за 2 часа 55 минут а одна первая труба
11	две трубы при совместной работе наполняют бассейн за 18 минут
11	две трубы работая вместе наполнили бассейн за 12 часов
11	две бригады за час совместной работы могут засеять поле площадью 6 га. работая  отдельно, первая бригада может засеять поле площадью 12 га на 3 часа быстрее, чем  это сделает вторая бригада. за сколько часов, работая отдельно, вторая бригада засеет  поле площадью 5 га
11	двое рабочих выполнили работу за 12 дней за сколько дней может
11	двое рабочих вытачивают вместе 136 деталей за 8 часов. если бы первый делал на две детали в час меньше, а второй на 1 деталь больше, то на изготовление одной детали второй рабочий затратил бы на 4 минуты меньше, чем первый. сколько деталей в час изготавливал первый рабочий?
11	двое рабочих могут выполнить всю работу за 1 час 20 минут за сколько часов
11	двое рабочих, работая вместе, могут выполнить работу за 12 дней. за сколько дней, работая отдельно, выполнит эту работу первый рабочий, если он за два дня выполняет такую же часть работы, какую второй— за три дня?
11	дима уехал из лагеря за 2 дня до окончания смены школьные знания
11	для одного из предприятий-монополистов зависимость объёма спроса на продукцию q (единиц в месяц) от её цены p (тыс. руб.) задаётся формулой: q = 100 – 10p. определите максимальный уровень цены p (в тыс. руб.), при котором значение выручки предприятия за месяц r = q · p составит не менее 240 тыс. руб.
11	дорога между пунктами а и в состоит из подъёма и спуска, а её длина равна 8 км. турист прошёл путь из а в в за 5 часов. время его движения на спуске составило 1 час. с какой скоростью турист шёл на спуске, если скорость его движения на подъёме меньше скорости движения на спуске на 3 км/ч?
11	если за 10 дней до окончания действия договора ни одна из сторон
11	если один комбайн может убрать все поле за 6 дней а второй за 8 дней
11	за 1 день турист прошел половину всего маршрута а за второй 2/3
11	за 1 час автомобиль проехал 80 км
11	за 2 часа снегоуборочная машина убрала 6 т снега
11	за 3 дня 4 курицы снесли 6 яиц
11	за 3 дня со склада в магазины отправили 9 т сахара
11	за 3 часа теплоход прошёл 112.2 км вычислите скорость теплохода
11	за 4 часа теплоход прошел 166.8 км
11	за 6 часов работы ученик изготовил 18 деталей поровну за каждый час
11	за 6 часов теплоход прошел 300 км а поезд
11	за 8 дней в столовой израсходовали 24 кг сахарного песка
11	за 8 минут самолет пролетел 96 км
11	за день на фабрике изготовили 1240 м ситца
11	за день с лотка продано 9/20 ц винограда
11	за час одна устрица фильтрует до 10 литров воды, содержащей 0,5 г водорослей. в одном грамме биомассы водорослей содержится 2,5 кдж энергии корма. если на процессы жизнедеятельности устрицы расходуют около 60% энергии потребленного корма, то за один час банка устриц из 1000 особей усвоит _______ кдж энергии этих водорослей
11	задача за 32 минуты дежурный по кухне с пояснениями
11	задача за 8 минут самолет двигаясь с одинаковой скоростью
11	задача токарь за 1 час обрабатывает 16 заготовок
11	задача три землекопа за 2 часа вырыли 3 ямы
11	заказ на 450 деталей один рабочий выполняет на 15 часов быстрее второго. сколько деталей в час делает второй рабочий, если известно, что первый за час делает на 15 деталей больше?
11	игорь и паша красят забор за 10 часов паша и володя за 12 часов а володя и игорь за 15
11	игорь и паша красят забор за 20 часов паша и володя за 24 часов
11	из пункта а в пункт в, расс-е между ними 40 км, одновременно выехали автомобилист и велосипедист.за час автомобилист проезжает на 70 км больше, чем велосипедист. опред-те ск-ть второго, если известно, что он прибыл в пункт в на 3,5 часа позже первого.
11	кeфир с сeкретом! вeс в первую неделю уходит очень быстро! но главное - это польза для здоровья. после пeрвых трёх дней чувствуешь себя замечательно. я за 10 дней потeряла 7 кг. я начала свою диeту с того, что..
11	каждый из двух рабочих может выполнить заказ за 9 часов
11	как вывести предварительно каким должен быть остаток за месяц в магазине
11	как вычислить среднесуточную температуру воздуха за день
11	как посчитать прибыль магазина за месяц формула
11	как решить задачу за 8 минут самолет , двигается с одинаковой скоростью.пролетал96 км.
11	какое количество теплоты выделится в резисторе за 1 секунду?
11	какой угол (в градусах) описывает часовая стрелка за 10 минут?
11	какой угол в градусах описывает минутная стрелка за 18 минут
11	коля за 6 дней прочитал 64 страницы книги
11	комната освещается люстрой из четырёх одинаковых параллельно включённых лампочек. расход электроэнергии за час равен q. каким будет расход электроэнергии в час, если в квартире включить ещё четыре таких же параллельно соединённых лампочки?
11	контрольное испытание по пробеганию испытуемым максимальной дистанции за 12 минут называется
11	магазин за 3 дня продал
11	магазин за 3 дня продал 1240,8 кг сахара. в первый день было продано 543 кг, во второй — в 2 раза больше, чем в третий. сколько килограммов сахара продано в третий день?
11	мастер выполнит работу за 6 дней
11	мастер может выполнить весь заказ за 8 часов а его ученик за 10 часов
11	мастера подземного королевства за 5 недель сделали 60 волшебных свистков
11	мастерская должна выпустить партию изделий за 7 дней
11	машина за час  промывает 500 кг хлопка. работало 10 таких машин в течение 7 часов. сколько тюков хлопка они промоют
11	машина прошла расстояние между городами за 5 часов идя со скоростью 48
11	можно ли купить билет на самолет со скидкой за 3 часа
11	моторная лодка проходит 180 км за 12 часов
11	мотоциклист проезжает расстояние от поселка до города за 2 часа
11	на изготовление 588 деталей первый рабочий затрачивает на 7 часов меньше, чем второй рабочий на изготовление 672 деталей. известно, что первый рабочий за час делает на 4 детали больше, чем второй. сколько деталей в час делает первый рабочий?
11	на изготовление 231 детали ученик тратит на 11 часов больше, чем мастер на изготовление 462 таких же деталей. известно, что ученик за час делает на 4 детали меньше, чем мастер. сколько деталей в час делает ученик?
11	на изготовление 33 деталей первый рабочий тратит на 8 часов меньше, чем второй рабочий на изготовление 77 таких же деталей. известно, что первый рабочий за час делает на 4 детали больше, чем второй. сколько деталей в час делает второй рабочий?
11	на обработку одной детали первый рабочий затрачивает на 6 минут меньше, чем второй. сколько деталей обработает второй рабочий за 7 часов, если первый за это время обработает на 8 деталей больше второго
11	на одном станке можно изготовить 25 деталей за минуту
11	напишите программу, которая вычисляет среднюю за неделю температуру воздуха
11	некоторое задание первый рабочий может выполнить за 4 часа
11	номинал процентного векселя 200 000 руб., по векселю начисляют проценты по ставке 20% годовых, выписан на срок 45 дней. определить доходность операции для инвестора, если он купит вексель за 25 дней до погашения по цене 200 000 руб. и будет держать его до погашения. расчет произвести по французской практике
11	один мастер может выполнить заказ за 20 часов второй за 5 часов
11	один рабочий выполняет всю работу за 3 часа
11	один рабочий выполняет всю работу за 3 часа а другой за 5 часов
11	один рабочий может выполнить работу за 3 часа а другой за 6 часов
11	определи скорость пешехода если за 8 минут он прошел 400 метров
11	определит ли тест на беременность за 4 дня до месячных
11	определите силу тока в электрической лампе если через нее за 10 минут
11	определить количество теплоты выделяемое в проводнике за 3 минуты
11	пассажирский поезд за 3 часа на 10 км больше
11	пекарня за день выпекает 2400 пирожков
11	первый насос наполняет бак за 12 минут, второй — за 14 минут, а третий — за 1 час 24 минуты. за сколько минут наполнят бак три насоса, работая одновременно?
11	первая бригада работая отдельно может выполнить задание за 3 дня
11	первые  270  км автомобиль ехал по шоссе со скоростью  72  км / ч ,  следующие  150 км  –  со скоростью  75  км / ч ,  а затем  66  км проехал за  1  час .  найдите среднюю скорость  автомобиля на протяжении всего пути .  ответ дайте в км / ч
11	первый и второй насосы наполняют бассейн за 8 минут второй и третий за 16/3
11	первый насос наполняет бак за 12 минут второй за 14 минут
11	первый насос наполняет бак за 12 минут, второй — за 14 минут, а третий — за 1 час 24 минуты. за сколько минут наполнят бак три насоса, работая одновременно?
11	пешеход двигаясь равномерно по шоссе прошел 1200 м за 20 минут
11	по норме маляр за 6 дня покрасил 42 автомобиль. за сколько дней он выполнил бы эту работу, если бы в день красил на 2 автомобиля больше?
11	по одной дороге из города в деревню можно доехать за 2 часа
11	поезд за 1/3 часа проходит 18 км сколько километров он проходит за 1 час
11	поезд, двигаясь равномерно со скоростью 63 км/ч, проезжает мимо идущего в том же направлении параллельно путям со скоростью 3 км/ч пешехода за 57 секунд. найдите длину поезда в метрах.
11	поле площадью 18 га вспахали за 3 дня в первый день вспахали 35
11	пора, мой друг, пора! покоя сердце просит — летят за днями дни, и каждый час уносит частичку бытия, а мы с тобой вдвоем предполагаем жить... и глядь — как раз —умрем. на свете счастья нет, но есть покой и воля...
11	при 150 градусах некоторая реакция заканчивается за 16 минут
11	при совместной работе мастер и ученик за 2 часа
11	принтер печатает одну страницу за 4 секунд сколько страниц
11	путешественники за 3 дня проехали 240 км
11	путь между двумя городами можно проехать на поезде за 12 часов со скоростью
11	пчела летит со скоростью 10 м/сек сколько км она пролетит за 1 час
11	рабочий за 8 часов собрал 8 узлов
11	расстояние 160км автобус преодолел за 2 часа
11	расстояние между двумя городами 1000 км за 50 минут
11	расстояние между двумя городами 1000 км машина проезжает его за 5 часов
11	расстояние между двумя городами автомобиль преодолевает за 3 часа если бы
11	решить задачу грузовая машина расходует за 1 час работы 15 л горючего
11	решить задачу игорь и паша красят забор за 10 часов паша и володя
11	самолёт пролитает 3600км за 4 часа
11	скачки давления до 180/110 и обратно за секунды
11	сколько можно проехать на мотоцикле за день
11	сколько нужно рабочих чтобы выполнить задание за 56 дней
11	скорость велосипедиста на 36 км/ч меньше скорости мотоциклиста. расстояние от города до посёлка велосипедист проезжает за 6 часов, а мотоциклист за 2 часа. какова скорость велосипедиста?
11	скорость пешехода 1.2 м/с за 1 минуту он проходит путь а 1.2
11	составить расчёт на установление лимита остатка кассы и оформление разрешения на расходование наличных денег из выручки, поступающей в его кассу. исходные данные: налично-денежная выручка – 36350-20  руб. за 3 месяца количество рабочих дней за 3 месяца – 64 сроки сдачи выручки ежедневно, на следующий день, 1 раз в 2 дня при образовании сверх лимитного остатка.
11	стоимость работы экскаватора за час
11	таксист за месяц проехал 10000 км стоимость 1 л бензина 21 рубля
11	таксист за месяц проехал 9000 км
11	теплоход за 8 часов прошёл 240 км
11	токарь выполнил заказ за 6 дней вместо 8 дней так как в день
11	три курицы за 3 дня снесли 3 яйца сколько яиц снесут 6 куриц за 6
11	туристы за 2 дня прошли 84 км
11	ученик за 8 часов работы сделал столько же деталей
11	через две трубы бассейн наполняется водой за 5 часов
11	шерлок холмс решил бы эту задачу за 1 минуту, доктор хаус за 2 минуты, шелдон купер за 5 минут 85% людей не смогут решить эту задачу вообще... а ты сможешь?
11	электрическая лампа за 10 минут расходует 36 кдж энергии
11	энергия активации реакции, приводящей к скисанию молока .равна 75 кдж/моль.при температура 21 c молоко скисает за 8 часов. как долго можно хранить молоко в холодильнике при температура 5 с. время скисания можно принять обратно пропорциональным константе скорости
11	этот снимок сделанный в палате больницы стал одним из самых загадочных снимков в истории!!! данное фото было сделано за неделю до смерти пациента..
11	эту загадку ученик 1-ого класса решает за 5 минут, старшеклассник за 15 минут, студент за 1 час, профессор никогда не решит. загадка: расшифруйте одтчпшсвдд.
11	─ загадка для гения гений находит решение за 10 секунд.
11	─ загадка для гения гений находит решение за 10 секунд. билл гейтс - за 20 секунд. выпускник гарварда (harvard university) за 40 секунд. если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей. 75% людей не способны решить эту задачу
11	♔ при любом раскладе - я в шоколаде ♔. добавлено фото  пляжный сезон уже не за горами!!! дeвочки гoтовимся к лету!!!)) пoхудеть пoможет легкo и быстрo этoт чудо напиток! пить 2 рaза в дeeнь утром и вечером, за 1 месяц уходит до 15 кг!!! всем желаю отличных отвесиков!!!) проверенно!!! » fb.me/6jqhdq078 cds комментировать 24
10	12. эта проживающая в пустынях и полупустынях австралии ящерица может изменять свою окраску, кроме того использует свой хвост для имитации ложной головы для защиты от хищника. назовите эту ящерицу, которая за день может с помощью своего липкого языка съесть несколько тысяч муравьёв.
10	2. две студентки, работая вместе, могут напечатать курсовую работу за 6 дней. если сначала 60% курсовой напечатает катя, а затем завершит работу алиса, то вся работа будет выполнена за 12 дней. за сколько дней может напечатать курсовую катя, печатая одна, если печатает она быстрее, чем алиса?
10	3. осман не успел влезть в лифт на первом этаже дома и решил пойти по лестнице. на третий этаж он поднимается за 2 минуты. сколько времени у него займет подъем до двенадцатого этажа?
10	5 насосов за 3 часа откачали 1800
10	6 рабочих выполнили работу за 15 дней за сколько дней
10	bcем привет, меня зовут владимир и сегодня я раскрою секрет, как восстановить волосы всего за 1 месяц в домашних условиях!
10	автобус по загородному шоссе проезжает 240 км за 4 часа
10	автобус проезжает расстояние между двумя городами за 30 часов
10	автомобиль за 3 часа проехал 340 км
10	андрей читает 300 слов за 2 минуты а игорь 400 слов за 4 минуты
10	аня купила проездной билет на месяц и сделала за месяц 34 поездки
10	аня купила проездной билет на месяц и сделала за месяц 55 поездок
10	бабушкин рецепт для супер-роста волос.+20 см за месяц!!!девчонки, хочу вам поведать о супер-эффективном средстве роста волос от моей бабушки!действует в любом возрасте!недавно решила сделать и офигела!
10	бригада из 3 рабочих может выполнить задание за 8 часов
10	бригада рабочих за месяц выпустила 2500 деталей в первой декаде
10	в бак объёмом 38 литров каждый час, начиная с 12 часов, наливают полное ведро воды объёмом 8 литров. но в днище бака есть небольшая щель, и из неё за час вытекает 3 литра. в какой момент времени (в часах) бак будет заполнен полностью.
10	в договоре об оплате труда указан оклад за час работы с подписями всех руководителей. .а не за месяц .могу ли я  обратиться в суд и в течение какого времени
10	в мастерской за 5 дней сшили 2000 школьных фартуков
10	в цистерну с водой через одну трубу вливается 5 ведер за 12 минут
10	вася загружает на свой компьютер из интернета файл размером 30 мб за 27 секунд. петя загружает файл размером 28 мб за 27 секунд, а миша загружает файл размером 32 мб за 31 секунду.  сколько секунд будет загружаться файл размером 465 мб на компьютер с наибольшей скоростью загрузки среди перечисленных?
10	вася загружает на свой компьютер из интернета файл размером 30 мб за 28 секунд. петя загружает файл размером 28 мб за 26 секунд, а миша загружает файл размером 32 мб за 30 секунд. сколько секунд будет загружаться файл размером 630 мб на компьютер с наибольшей скоростью загрузки?
10	вася пробежал дистанцию 90 м за 14 секунд
10	велосипед за 3 часа проехал 57 км
10	велосипедист проехал 24 км за 2 часа
10	велосипедист проехал расстояние 67 км за 4 часа
10	велосипедист прошел всю дистанцию за 19 минут
10	вертолет за 2 часа пролетел 430 км
10	во время праздничной поездки олень деда мороза делает 18 прыжков за 27 секунд. сколько секунд понадобится оленю на 30 прыжков?
10	ворона пролетела расстояние от своего гнезда до кормушки за 2 часа
10	восемь машинисток за 4 дня набрали 640 страниц текста
10	врачи молчат об этом!  лекарство, которым исцелял еще сам гиппократ!  1. дизентерия проходит - за 5 часов.  2. сальмонеллез - за 5 часов.  3. язва желудка - за неделю.  4. колит (толстая кишка) - за неделю.  5. дисбактериоз - за неделю.
10	врачи молчат об этом!  лекарство, которым исцелял еще сам гиппократ!  1. дизентерия проходит - за 5 часов.  2. сальмонеллез - за 5 часов.  3. язва желудка - за неделю.  4. колит (толстая кишка) - за неделю.  5. дисбактериоз - за неделю.  6. грипп - сутки.
10	врачи молчат об этом! лекарство, которым исцелял еще сам гиппократ! 1.дизентерия проходит - за 5 часов 2.сальмонеллез - за 5 часов. 3.язва желудка - за неделю. 4.колит-за неделю. 5.дисбактериоз -за неделю
10	врачи молчат об этом! лекарство, которым исцелял еще сам гиппократ! 1.дизентерия проходит - за 5 часов 2.сальмонеллез - за 5 часов. 3.язва желудка - за неделю. 4.колит-за неделю. 5.дисбактериоз -за неделю. читайте продолжение —> ok.ru/bisness.str
10	выплата отпуска за 3 дня календарных или рабочих
10	гений находит решение за 10 секунд.  билл гейтс - за 20 секунд.  выпускник гарварда (harvard university) за 40 секунд.  90% людей не способны решить эту задачу.
10	гений находит решение за 10 секунд. билл гейтс — за 20 секунд. выпускник гарварда (harvard university) — за 40 секунд. если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей. 75% людей не способны решить эту задачу.
10	дальнобойщик за месяц проехал 12000 км
10	даша и маша пропалывают грядку за 18 минут а одна маша за 54 минут
10	два фермера вырыли колодец за 24 часа сколько часов
10	два фильтра марки источник очищают 2000 л воды за 5 часов за сколько
10	два экскаватора работая совместно могут вырыть котлован за 48 часов
10	две бригады работая вместе могут выполнить задание за 8 часов первая
10	две бригады работая одновременно могут выполнить задание за 6 дней
10	две студентки , работая вместе , могут напечатать курсовую работу за 6 дней. если сначала 60% курсовой напечатает катя , а затем завершит работу алиса, то вся работа будет выполнена за 12 дней. за сколько дней может напечатать курсовую катя , печатая одна, если печатает он а быстрее, чем алиса
10	две трубы наполняют бассейн за 57 минут, а одна первая труба наполняет бассейн за 19 часов. за сколько часов наполняет бассейн одна вторая труба?
10	две трубы наполняют бассейн за 6 часов 18 минут, а одна первая труба наполняет бассейн за 9 часов. за сколько часов наполняет бассейн одна вторая труба?
10	двое рабочих, работая вместе, могут выполнить работу за 12 дней. за сколько дней, работая отдельно, выполнит эту работу первый рабочий, если он за два дня выполняет такую же часть работы, какую второй – за три дня?
10	двое рабочих могут выполнить всю работу за 1 час 12 минут за сколько
10	двое рабочих могут выполнить задание за 12 дней
10	двое рабочих могут выполнить некоторую работу за 7 дней при условии
10	двое рабочих могут напилить за день 5 поленниц дров а наколоть 8
10	дима прочитал c страниц за 20 минут
10	дорога между пунктами a и в состоит из подъёма и спуска, а её длина равна 25 км. турист прошёл путь из а в в за 7 часов, из которых спуск занял 2 часа. с какой скоростью турист шёл на спуске, если его скорость на подъёме меньше его скорости на спуске на 2 км/ч?
10	если оплодотворение произошло за неделю до месячных
10	если работодатель не уведомил за 2 месяца
10	за 10 дней нахождения в загранкомандировке в феврале 2013 года работнику коммерческой компании (резидент рф) выплатили 30 000 руб. суточных. какую сумму ндфл должна удержать бухгалтерия с этой выплаты (права на вычеты у работника нет)?
10	за 10 минут на велосипеде проехали 2400 м
10	за 2 дня погибли боб саймон (cbs), дэвид карр (nyt) и нед кольт (nbc), готовившие фильм о роли сша в 11 сентября
10	за 2 часа автобус проехал 120 км.сколько км проехал автобус за 20 минут
10	за 2 часа машина проехала 160 км а потом увеличила скорость на 20 км
10	за 3 часа машина проехала 321 километр. сколько она проедет за 8 часов, если будет двигаться с той же скоростью?
10	за 4 часа машинистка напечатала 28 страница
10	за 5 секунд до финиша скорость велосипедиста равнялась 18 км/ч
10	за 5 часов 30 минут велосипедист проделал путь 99 км
10	за 5 часов поезд проехал 155 км сколько км проедет поезд за 12 часов
10	за 6 часов работы бригада заасфальтировала 240 м дорожек
10	за 8 часов первая машинистка печатает 72 листа
10	за день в киоске продали 10 открыток сколько открыток осталось в киоске
10	за день велосипедисты проехали 48 км
10	за день машина проезжает n километров. сколько дней нужно, чтобы проехать маршрут длиной m километров?
10	за день турист прошел 24 км что составило 3/8
10	за день туристы прошли 20 км после обеда они прошли в 4 раза меньше
10	за неделю лика собрала для картины
10	за час одна устрица фильтрует до 10 литров воды, содержащей 0,5 г водорослей. в одном грамме биомассы водорослей содержится 2,5 кдж энергии корма. если на процессы жизнедеятельности устрицы расходуют около 60% энергии потребленного корма, то за один час банка устриц из 1000 особей усвоит
10	загадка для гения гений находит решение за 10 секунд. билл гейтс - за 20 секунд.
10	задача в универмаге за день продали 52 одинаковых детских пальто
10	задача два водителя сделали за день 8 рейсов
10	задача за день до спектакля через кассы театра продано 330 билетов
10	заказ на 240 деталей первый рабочий выполняет на 1 час быстрее, чем второй. сколько деталей в час делает второй рабочий, если известно, что первый за час делает на 1 деталь больше?
10	заказ на 272 детали первый рабочий выполняет на 1 час быстрее, чем второй. сколько деталей в час делает второй рабочий, если известно, что первый за час делает на 1 деталь больше?
